,Arginine / ul,BSA / ul,DMSO / ul,Glucose / ul,KCl / ul,KPi / ul,NH4 / ul,NaCl / ul,Triton  / ul,Water
0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0
1,0.0,0.0,0.0,750.0,750.0,0.0,750.0,750.0,0.0,2000.0
2,1500.0,0.0,0.0,0.0,750.0,750.0,0.0,750.0,0.0,1250.0
3,1500.0,50.0,0.0,750.0,0.0,750.0,750.0,0.0,0.0,1200.0
4,0.0,0.0,200.0,0.0,750.0,750.0,750.0,0.0,0.0,2550.0
5,0.0,50.0,200.0,750.0,0.0,750.0,0.0,750.0,0.0,2500.0
6,1500.0,50.0,200.0,0.0,0.0,0.0,750.0,750.0,0.0,1750.0
7,1500.0,0.0,200.0,750.0,750.0,0.0,0.0,0.0,0.0,1800.0
8,0.0,0.0,0.0,0.0,0.0,750.0,750.0,750.0,5.0,2745.0
9,0.0,50.0,0.0,750.0,750.0,750.0,0.0,0.0,5.0,2695.0
10,1500.0,50.0,0.0,0.0,750.0,0.0,750.0,0.0,5.0,1945.0
11,1500.0,0.0,0.0,750.0,0.0,0.0,0.0,750.0,5.0,1995.0
12,0.0,50.0,200.0,0.0,750.0,0.0,0.0,750.0,5.0,3245.0
13,0.0,0.0,200.0,750.0,0.0,0.0,750.0,0.0,5.0,3295.0
14,1500.0,0.0,200.0,0.0,0.0,750.0,0.0,0.0,5.0,2545.0
15,1500.0,50.0,200.0,750.0,750.0,750.0,750.0,750.0,5.0,-505.0
